country,period,pilocytic_astrocytoma,pilocytic_astrocytoma_flag,diffuse_anaplastic_astrocytoma,diffuse_anaplastic_astrocytoma_flag,glioblastoma,glioblastoma_flag,ependymoma,ependymoma_flag,unspecified_astrocytoma,unspecified_astrocytoma_flag,oligodendroglioma,oligodendroglioma_flag
Algeria,2010-2014,,,,,13.9,§,,,,,,
Argentina,2010-2014,60.7,§,47.4,§,9.7,§,,,33.4,§,57.3,§
Australia*,2010-2014,89.1,,32.9,,12.2,,70.0,,41.8,,53.3,
Austria*,2010-2014,86.0,,36.2,,8.9,,,,38.2,,62.6,
Belgium*,2010-2014,90.7,,38.3,,8.3,,53.7,,31.7,,44.1,
Brazil,2010-2014,64.7,§,50.1,§,18.0,§,,,47.8,§,68.4,§
Canada,2010-2014,79.8,,32.7,,10.6,,82.8,,36.6,,58.9,
Chile,2010-2014,,,,,5.1,,,,,,,
China,2010-2014,78.4,,29.2,,16.9,,45.9,,38.9,,51.7,
Colombia,2010-2014,50.3,§,27.2,§,6.6,§,,,32.8,§,51.5,§
Costa Rica*,2010-2014,71.9,§,40.7,§,12.6,§,,,24.9,§,45.6,§
Croatia*,2010-2014,66.0,,26.4,,8.7,,49.2,,30.7,,44.3,
Cyprus*,2010-2014,,,29.2,§,10.1,§,,,,,62.0,§
Czech Republic*,2010-2014,50.4,,31.6,,8.3,,56.9,,25.7,,43.8,
Denmark*,2010-2014,73.4,,21.8,,6.3,,72.3,,34.7,,37.8,
Ecuador,2010-2014,,,36.5,,4.4,,,,27.2,,55.6,
Estonia*,2010-2014,,,45.8,,11.5,,,,,,39.5,
Finland*,2010-2014,74.9,,20.4,,5.0,,70.9,,42.3,,60.9,
France,2010-2014,81.6,,38.3,,7.7,,,,,,46.1,
Germany,2010-2014,78.3,,36.7,,12.4,,83.7,,37.8,,62.8,
Guadeloupe,2010-2014,,,,,0.0,§,,,,,,
Iceland*,2010-2014,,,,,3.4,,,,24.6,,,
India,2010-2014,,,18.7,,0.6,,,,,,,
Ireland*,2010-2014,97.7,,29.6,,5.0,,78.6,,38.9,,48.9,
Israel*,2010-2014,90.5,,29.7,,6.4,,80.3,,47.5,,54.4,
Italy,2010-2014,78.2,,26.2,,8.3,,64.7,,33.9,,46.8,
Japan,2010-2014,91.2,§,29.2,§,11.2,§,52.7,,47.1,§,62.3,§
Jordan*,2010-2014,83.3,§,36.7,§,23.1,§,,,35.8,§,55.9,§
Kuwait*,2010-2014,,,,,27.1,,,,,,47.2,
Latvia*,2010-2014,32.9,,47.6,,10.5,,,,58.9,,65.7,
Lithuania*,2010-2014,,,58.8,§,3.6,§,59.6,,45.5,§,48.4,§
Malaysia (Penang),2010-2014,,,,,0.2,,,,17.7,,,
Malta*,2010-2014,,,18.1,,6.3,,,,,,,
Martinique*,2010-2014,,,,,6.4,,,,,,,
Mauritius*,2010-2014,,,,,31.5,,,,,,,
Netherlands*,2010-2014,95.2,,33.4,,8.1,,57.3,,22.0,,60.6,
New Zealand*,2010-2014,83.3,,32.8,,12.2,,,,14.0,,57.3,
Nigeria (Ibadan),2010-2014,,,,,0.1,§,,,,,,
Norway*,2010-2014,88.9,,31.2,,6.7,,73.2,,51.1,,69.5,
Poland*,2010-2014,68.8,,25.8,,7.2,,62.2,,30.8,,39.3,
Portugal*,2010-2014,80.5,,26.8,,5.3,,43.0,,29.4,,31.8,
Puerto Rico*,2010-2014,,,35.7,,9.8,,64.8,,,,64.5,
Qatar*,2010-2014,,,84.0,§,10.0,§,,,,,26.7,§
Romania (Cluj),2010-2014,,,43.9,§,8.4,§,,,,,16.6,§
Russian Federation,2010-2014,24.2,,24.1,,8.5,,10.9,,36.3,,54.3,
Singapore*,2010-2014,82.1,,24.4,,13.9,,73.4,,40.7,,59.1,
Slovakia*,2010-2014,,,28.2,,7.9,,,,54.6,,39.8,
Slovenia*,2010-2014,,,28.7,,8.5,,,,,,63.5,
South Korea*,2010-2014,82.7,,24.6,,13.0,,61.5,,42.9,,55.1,
Spain,2010-2014,58.7,,30.1,,7.6,,42.5,,42.7,,47.6,
Sweden*,2010-2014,80.9,,30.5,,6.2,,76.1,,45.7,,49.7,
Switzerland,2010-2014,85.6,,28.3,,7.7,,62.2,,35.0,,49.5,
Taiwan*,2010-2014,81.1,,25.0,,12.0,,43.4,,42.8,,48.7,
Thailand,2010-2014,31.1,,30.6,,6.5,,,,13.1,,51.1,
Turkey,2010-2014,83.0,,23.0,,9.5,,73.1,,45.5,,39.2,
United Kingdom*,2010-2014,73.3,,30.3,,6.6,,58.9,,31.1,,53.0,
United States,2010-2014,82.9,,30.7,,10.3,,63.6,,42.4,,60.0,
