iso3,who_radiotherapy_units_per_million,who_radiotherapy_year,who_oral_morphine_available,who_oral_morphine_year
ARG,2.75055,2013,1,2013
AUS,4.02698,2013,1,2013
AUT,5.41486,2013,1,2013
BEL,8.28495,2013,1,2013
BGR,2.07672,2013,1,2013
BRA,1.73686,2013,1,2013
CAN,8.07238,2013,1,2013
CHE,9.79,2010,1,2013
CHL,0.90807,2013,1,2013
CHN,1.10496,2013,1,2013
COL,1.44863,2013,1,2013
CRI,2.25772,2013,1,2013
CUB,1.15395,2013,0,2013
CYP,2.62889,2013,1,2013
CZE,4.85882,2013,1,2013
DEU,6.44291,2013,1,2013
DNK,9.61009,2013,1,2013
DZA,0.43,2014,0,2013
ECU,0.12708,2013,0,2013
ESP,4.15539,2013,1,2013
EST,2.33055,2013,1,2013
FIN,7.37147,2013,1,2013
FRA,7.51268,2013,1,2013
GBR,5.03673,2013,1,2013
GIB,,,,
GLP,,,,
HKG,,,,
HRV,3.03051,2013,1,2013
IND,0.4089,2013,0,2013
IRL,3.89006,2013,1,2013
IRN,0.85219,2013,1,2013
ISL,6.06916,2013,1,2013
ISR,3.36215,2013,1,2013
ITA,6.41086,2013,1,2013
JOR,0.82488,2013,1,2013
JPN,7.17299,2013,1,2013
KOR,3.0043,2013,1,2013
KWT,1.18745,2013,1,2013
LTU,3.64609,2013,1,2013
LVA,5.36502,2013,1,2013
MAR,0.39384,2013,0,2013
MLI,0.06535,2013,1,2013
MLT,4.66196,2013,1,2013
MNG,0.70446,2013,1,2013
MTQ,,,,
MUS,2.41079,2013,,2013
MYS,1.41333,2013,0,2013
NGA,0.07488,2013,0,2013
NLD,7.2199,2013,1,2013
NOR,8.13061,2013,1,2013
NZL,6.21427,2013,0,2013
PER,1.11932,2013,1,2013
POL,2.72133,2013,,2013
PRI,,,,
PRT,4.05348,2013,1,2013
QAT,0.92222,2013,1,2013
ROU,1.15215,2013,0,2013
RUS,2.27537,2013,1,2013
SGP,3.51089,2013,1,2013
SVK,4.77045,2013,1,2013
SVN,5.79151,2013,1,2013
SWE,6.9,2014,1,2013
THA,0.97,2013,0,2013
TUR,2.02849,2013,0,2013
TWN,,,,
URY,3.8156,2013,1,2013
USA,12.36991,2013,1,2013
ZAF,0.56844,2013,,2013
