indicator,column,n,beta,se,p,beta_hic,p_hic,r2
Out-of-pocket expenditure (% CHE),oop_pct_che,40,0.13056729748503293,0.16731153625686096,0.43516470137233854,-1.3274615027440944,0.7943683600050404,0.10787575513891312
Government health expenditure (% CHE),gov_pct_che,40,-0.039519538940412255,0.08695221532647048,0.6494710023062158,-1.760160090417183,0.7220097392572206,0.06903015650664357
Current health expenditure (% GDP),che_pct_gdp,40,0.06854879382531726,0.3138333080010382,0.8270986004356121,-2.3460557081587092,0.6324861879334727,0.060737451775244256
Current health expenditure per capita (PPP USD),che_pc_ppp_usd,40,0.0005462878000545914,0.000588443116191896,0.35322020039868707,-2.496083478007994,0.6003507853925378,0.07306448047244418
Nurses and midwives per 1000 population,nurses_per_1000,40,0.20469565367761622,0.22893030708322845,0.3712472027962924,-2.44201723290383,0.6083068028097471,0.07005518104348263
Physicians per 1000 population,physicians_per_1000,38,-0.4104641243788231,1.5948317218417325,0.7968920540391504,-1.8938297342455284,0.7202948186696485,0.0749347756898856
Life expectancy at birth (years),life_expectancy,41,-0.3033230100189738,0.614525680788388,0.6215965930305574,-0.7129654486587946,0.887496546154918,0.06729663028963406
Radiotherapy units per million population,radiotherapy_units_per_million,40,0.3663997747131824,0.3104916403159872,0.23797505896768356,-2.7986886909948576,0.5663189831414042,0.07975793754101457
Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,41,0.06972043482735678,0.04852094363482168,0.15074236331137786,-2.4649325451410733,0.5931113215151183,0.0945006292952747
